t,predict_test,teacher
501,0.168447,0.164706,1.39933e-05
502,0.121771,0.117647,3.09962e-05
503,0.127334,0.12549,3.43952e-05
504,0.196083,0.196078,3.43952e-05
505,0.337037,0.337255,3.44427e-05
506,0.406412,0.403922,4.06451e-05
507,0.283539,0.286275,4.81261e-05
508,0.166362,0.164706,5.08696e-05
509,0.117812,0.113725,6.75666e-05
510,0.122133,0.117647,8.76909e-05
511,0.187298,0.192157,0.000111304
512,0.342102,0.341176,0.00011216
513,0.418127,0.411765,0.000152639
514,0.289444,0.286275,0.000162688
515,0.165392,0.160784,0.000183918
516,0.115061,0.109804,0.000211554
517,0.118676,0.117647,0.000212612
518,0.188771,0.192157,0.000224073
519,0.344638,0.345098,0.000224285
520,0.424085,0.427451,0.000235613
521,0.289898,0.290196,0.000235702
522,0.157598,0.156863,0.000236243
523,0.108996,0.109804,0.000236895
524,0.116883,0.113725,0.000246864
525,0.184111,0.180392,0.000260697
526,0.338776,0.345098,0.00030066
527,0.443309,0.443137,0.00030069
528,0.296969,0.298039,0.000301836
529,0.159362,0.160784,0.000303859
530,0.10861,0.109804,0.000305283
531,0.112843,0.113725,0.000306062
532,0.181627,0.180392,0.000307587
533,0.337996,0.345098,0.000358033
534,0.446946,0.45098,0.000374307
535,0.30215,0.309804,0.000432892
536,0.160738,0.164706,0.00044864
537,0.106585,0.105882,0.000449133
538,0.106889,0.109804,0.00045763
539,0.175529,0.172549,0.000466509
540,0.332184,0.341176,0.000547375
541,0.461539,0.466667,0.000573665
542,0.315085,0.32549,0.000681932
543,0.163199,0.164706,0.000684203
544,0.101416,0.105882,0.000704146
545,0.103845,0.105882,0.000708295
546,0.1672,0.164706,0.000714517
547,0.325228,0.333333,0.000780217
548,0.472549,0.482353,0.000876327
549,0.33116,0.34902,0.00119529
550,0.167349,0.176471,0.00127849
551,0.10097,0.109804,0.00135653
552,0.100315,0.101961,0.00135924
553,0.155598,0.152941,0.0013663
554,0.30753,0.313725,0.00140468
555,0.479984,0.490196,0.00150898
556,0.360352,0.368627,0.00157747
557,0.178053,0.184314,0.00161666
558,0.10532,0.109804,0.00163677
559,0.0967976,0.101961,0.00166342
560,0.150704,0.145098,0.00169486
561,0.291025,0.294118,0.00170442
562,0.478574,0.494118,0.00194603
563,0.384036,0.396078,0.00209105
564,0.186964,0.196078,0.00217413
565,0.106292,0.109804,0.00218646
566,0.0910645,0.0980392,0.00223511
567,0.139439,0.137255,0.00223988
568,0.275741,0.27451,0.00224139
569,0.47454,0.490196,0.00248651
570,0.411189,0.431373,0.0028939
571,0.201877,0.211765,0.00299166
572,0.105836,0.113725,0.00305391
573,0.0887139,0.0980392,0.00314088
574,0.130943,0.12549,0.00317061
575,0.250125,0.243137,0.00321944
576,0.459641,0.478431,0.00357253
577,0.449997,0.470588,0.00399652
578,0.22421,0.239216,0.0042217
579,0.115458,0.12549,0.00432235
580,0.0888653,0.0941176,0.00434994
581,0.115873,0.113725,0.00435455
582,0.220895,0.219608,0.0043562
583,0.439816,0.45098,0.00448084
584,0.479862,0.505882,0.00515791
585,0.259955,0.262745,0.00516569
586,0.118782,0.12549,0.00521069
587,0.0858264,0.0901961,0.00522978
588,0.10384,0.101961,0.00523332
589,0.193782,0.188235,0.00526409
590,0.407835,0.407843,0.00526409
591,0.515319,0.537255,0.00574526
592,0.300161,0.305882,0.00577799
593,0.132092,0.141176,0.00586052
594,0.0877508,0.0901961,0.0058665
595,0.0923301,0.0980392,0.0058991
596,0.17247,0.160784,0.00603564
597,0.355796,0.364706,0.00611502
598,0.535682,0.556863,0.00656366
599,0.340123,0.352941,0.00672797
600,0.149449,0.14902,0.00672815
601,0.0825532,0.0941176,0.00686189
602,0.0877334,0.0862745,0.00686401
603,0.142922,0.137255,0.00689613
604,0.314077,0.305882,0.00696329
605,0.534015,0.556863,0.00748532
606,0.406376,0.407843,0.00748748
607,0.169673,0.176471,0.00753369
608,0.093911,0.0941176,0.00753373
609,0.077804,0.0784314,0.00753412
610,0.117428,0.109804,0.00759226
611,0.249954,0.247059,0.00760064
612,0.515421,0.521569,0.00763843
613,0.475646,0.486275,0.0077514
614,0.214047,0.211765,0.00775661
615,0.0957405,0.0980392,0.00776189
616,0.0722383,0.0784314,0.00780024
617,0.100842,0.0941176,0.00784546
618,0.201123,0.196078,0.00787091
619,0.456831,0.466667,0.00796766
620,0.534532,0.54902,0.00817755
621,0.259343,0.262745,0.00818912
622,0.109069,0.117647,0.00826271
623,0.0755762,0.0784314,0.00827087
624,0.0868693,0.0823529,0.00829126
625,0.160201,0.14902,0.0084163
626,0.371386,0.384314,0.00858342
627,0.582736,0.592157,0.00867217
628,0.33486,0.337255,0.0086779
629,0.135013,0.133333,0.00868072
630,0.0738437,0.0784314,0.00870177
631,0.0733187,0.0745098,0.00870319
632,0.127868,0.121569,0.00874287
633,0.302657,0.298039,0.00876419
634,0.572609,0.592157,0.00914631
635,0.425545,0.435294,0.00924136
636,0.163166,0.168627,0.00927119
637,0.0791778,0.0823529,0.00928127
638,0.0644936,0.0705882,0.00931842
639,0.102684,0.0941176,0.0093918
640,0.223767,0.219608,0.0094091
641,0.519936,0.52549,0.00943995
642,0.524351,0.537255,0.00960647
643,0.224813,0.223529,0.00960812
644,0.09205,0.0941176,0.00961239
645,0.0646481,0.0666667,0.00961647
646,0.079829,0.0823529,0.00962284
647,0.174392,0.156863,0.00993011
648,0.40967,0.419608,0.0100289
649,0.603808,0.615686,0.01017
650,0.304681,0.317647,0.0103381
651,0.117425,0.121569,0.0103553
652,0.0667295,0.0705882,0.0103702
653,0.0673287,0.0666667,0.0103706
654,0.118988,0.113725,0.0103983
655,0.302642,0.301961,0.0103988
656,0.607547,0.619608,0.0105442
657,0.43325,0.443137,0.010642
658,0.159788,0.160784,0.010643
659,0.0729903,0.0784314,0.0106726
660,0.0610898,0.0666667,0.0107037
661,0.0968173,0.0901961,0.0107475
662,0.218904,0.207843,0.0108699
663,0.518888,0.529412,0.0109806
664,0.550951,0.584314,0.0120937
665,0.229769,0.239216,0.012183
666,0.087841,0.0980392,0.012287
667,0.0621292,0.0705882,0.0123585
668,0.0792336,0.0745098,0.0123808
669,0.155461,0.141176,0.0125849
670,0.384683,0.384314,0.012585
671,0.625101,0.662745,0.0140021
672,0.354124,0.360784,0.0140465
673,0.122299,0.129412,0.0140971
674,0.0693557,0.0745098,0.0141236
675,0.0629138,0.0666667,0.0141377
676,0.113362,0.0980392,0.0143725
677,0.25736,0.247059,0.0144786
678,0.584421,0.607843,0.0150272
679,0.5095,0.537255,0.0157976
680,0.193418,0.2,0.0158409
681,0.0854842,0.0862745,0.0158415
682,0.0584375,0.0627451,0.0158601
683,0.0811544,0.0745098,0.0159042
684,0.16821,0.152941,0.0161374
685,0.430846,0.435294,0.0161571
686,0.63895,0.678431,0.0177159
687,0.318931,0.321569,0.0177229
688,0.107351,0.117647,0.0178289
689,0.0676604,0.0705882,0.0178374
690,0.0631267,0.0666667,0.01785
691,0.120545,0.0980392,0.0183565
692,0.266209,0.262745,0.0183685
693,0.616929,0.643137,0.0190554
694,0.492862,0.52549,0.02012
695,0.184289,0.180392,0.0201352
696,0.0786502,0.0862745,0.0201933
697,0.0597145,0.0588235,0.0201941
698,0.08266,0.0745098,0.0202605
699,0.172915,0.145098,0.0210343
700,0.421704,0.439216,0.0213409
701,0.666496,0.705882,0.0228922
702,0.32028,0.329412,0.0229756
703,0.111091,0.109804,0.0229773
704,0.0606915,0.0666667,0.023013
705,0.0573487,0.054902,0.023019
706,0.0989045,0.0862745,0.0231785
707,0.242501,0.235294,0.0232304
708,0.616481,0.639216,0.0237473
709,0.543256,0.572549,0.0246053
710,0.19426,0.192157,0.0246098
711,0.080045,0.0784314,0.0246124
712,0.0532311,0.054902,0.0246152
713,0.0691707,0.0627451,0.0246565
714,0.139478,0.117647,0.025133
715,0.365778,0.372549,0.0251789
716,0.709992,0.741176,0.0261513
717,0.37835,0.388235,0.0262491
718,0.119269,0.121569,0.0262544
719,0.0638266,0.0627451,0.0262555
720,0.0481687,0.0509804,0.0262634
721,0.0816442,0.0705882,0.0263857
722,0.188059,0.160784,0.0271296
723,0.507922,0.537255,0.02799
724,0.676986,0.698039,0.0284332
725,0.253293,0.25098,0.0284385
726,0.087543,0.0862745,0.0284401
727,0.0538244,0.054902,0.0284413
728,0.0542834,0.0509804,0.0284522
729,0.0976419,0.0784314,0.0288213
730,0.238309,0.231373,0.0288694
731,0.663388,0.690196,0.029588
732,0.556064,0.588235,0.030623
733,0.175364,0.172549,0.030631
734,0.0706265,0.0705882,0.030631
735,0.0451511,0.0470588,0.0306346
736,0.0619796,0.0470588,0.0308572
737,0.102159,0.0862745,0.0311095
738,0.297404,0.301961,0.0311303
739,0.765786,0.780392,0.0313437
740,0.465083,0.482353,0.0316419
741,0.132015,0.129412,0.0316487
742,0.0593093,0.054902,0.0316681
743,0.0383504,0.0431373,0.031691
744,0.0565058,0.0431373,0.0318698
745,0.0998289,0.0901961,0.0319625
746,0.341774,0.337255,0.031983
747,0.820225,0.835294,0.0322101
748,0.424877,0.439216,0.0324156
749,0.108212,0.105882,0.0324211
750,0.0485155,0.0470588,0.0324232
751,0.0322883,0.0392157,0.0324712
752,0.0500881,0.0392157,0.0325894
753,0.0917554,0.0823529,0.0326778
754,0.329073,0.301961,0.0334129
755,0.844725,0.866667,0.0338943
756,0.457232,0.490196,0.0349809
757,0.0945594,0.109804,0.0352133
758,0.0491484,0.0470588,0.0352177
759,0.0271451,0.0392157,0.0353634
760,0.0497032,0.0313725,0.0356994
761,0.0695906,0.0509804,0.0360457
762,0.193116,0.168627,0.0366454
763,0.721351,0.729412,0.0367104
764,0.751457,0.764706,0.036886
765,0.184492,0.172549,0.0370286
766,0.0719798,0.054902,0.0373202
767,0.0308926,0.0352941,0.0373396
768,0.0434706,0.0313725,0.037486
769,0.0692098,0.027451,0.0392298
770,0.0591422,0.0392157,0.0396269
771,0.179104,0.145098,0.0407832
772,0.751893,0.768627,0.0410633
773,0.838631,0.85098,0.0412158
774,0.178851,0.168627,0.0413203
775,0.050812,0.0470588,0.0413344
776,0.012048,0.0313725,0.0417078
777,0.0370683,0.0313725,0.0417403
778,0.0852187,0.0235294,0.0455458
779,0.0485884,0.0196078,0.0463857
780,-0.0161415,0.027451,0.048286
781,0.117968,0.0705882,0.0505308
782,0.342843,0.211765,0.0677123
783,0.376705,0.203922,0.0975665
784,0.161398,0.156863,0.0975871
785,0.082065,0.145098,0.10156
786,0.112064,0.160784,0.103934
787,0.210789,0.2,0.10405
788,0.284135,0.254902,0.104905
789,0.304565,0.290196,0.105111
790,0.253627,0.282353,0.105937
791,0.189263,0.235294,0.108055
792,0.147631,0.196078,0.110402
793,0.153587,0.184314,0.111347
794,0.187115,0.211765,0.111954
795,0.242418,0.258824,0.112223
796,0.274288,0.298039,0.112788
797,0.262344,0.282353,0.113188
798,0.216867,0.231373,0.113398
799,0.188221,0.192157,0.113414
800,0.18607,0.188235,0.113418
801,0.218441,0.219608,0.11342
802,0.272166,0.270588,0.113422
803,0.30282,0.309804,0.113471
804,0.280561,0.282353,0.113474
805,0.220554,0.227451,0.113522
