t,predict_test,teacher
501,0.16624,0.164706,2.35296e-06
502,0.117097,0.117647,2.65518e-06
503,0.126966,0.12549,4.83241e-06
504,0.201524,0.196078,3.44904e-05
505,0.348173,0.337255,0.000153689
506,0.406886,0.403922,0.000162476
507,0.286164,0.286275,0.000162488
508,0.162349,0.164706,0.000168041
509,0.112601,0.113725,0.000169306
510,0.123103,0.117647,0.000199069
511,0.191352,0.192157,0.000199716
512,0.357528,0.341176,0.0004671
513,0.415835,0.411765,0.000483669
514,0.286991,0.286275,0.000484183
515,0.16007,0.160784,0.000484693
516,0.108624,0.109804,0.000486086
517,0.119372,0.117647,0.000489061
518,0.19459,0.192157,0.000494983
519,0.356248,0.345098,0.000619301
520,0.420019,0.427451,0.000674531
521,0.292927,0.290196,0.000681991
522,0.156083,0.156863,0.000682599
523,0.106217,0.109804,0.000695462
524,0.116828,0.113725,0.000705086
525,0.185879,0.180392,0.000735191
526,0.348001,0.345098,0.000743619
527,0.44902,0.443137,0.000778224
528,0.303754,0.298039,0.000810886
529,0.15851,0.160784,0.000816058
530,0.102125,0.109804,0.000875019
531,0.112696,0.113725,0.00087608
532,0.183905,0.180392,0.000888423
533,0.344328,0.345098,0.000889016
534,0.449664,0.45098,0.000890749
535,0.310177,0.309804,0.000890888
536,0.160793,0.164706,0.000906198
537,0.101957,0.105882,0.000921609
538,0.107962,0.109804,0.000925
539,0.1769,0.172549,0.000943935
540,0.334642,0.341176,0.000986636
541,0.462767,0.466667,0.00100185
542,0.322545,0.32549,0.00101052
543,0.163513,0.164706,0.00101194
544,0.0994455,0.105882,0.00105337
545,0.104047,0.105882,0.00105674
546,0.165424,0.164706,0.00105726
547,0.326094,0.333333,0.00110967
548,0.473728,0.482353,0.00118406
549,0.34083,0.34902,0.00125112
550,0.170478,0.176471,0.00128704
551,0.0992575,0.109804,0.00139826
552,0.101815,0.101961,0.00139828
553,0.150874,0.152941,0.00140256
554,0.305597,0.313725,0.00146863
555,0.48247,0.490196,0.00152832
556,0.36845,0.368627,0.00152835
557,0.178466,0.184314,0.00156255
558,0.102381,0.109804,0.00161764
559,0.0963769,0.101961,0.00164882
560,0.147202,0.145098,0.00165325
561,0.284351,0.294118,0.00174863
562,0.478797,0.494118,0.00198334
563,0.398099,0.396078,0.00198742
564,0.190718,0.196078,0.00201615
565,0.107169,0.109804,0.00202309
566,0.0916964,0.0980392,0.00206332
567,0.135486,0.137255,0.00206645
568,0.267593,0.27451,0.00211429
569,0.46948,0.490196,0.00254346
570,0.420446,0.431373,0.00266284
571,0.211076,0.211765,0.00266331
572,0.110739,0.113725,0.00267223
573,0.089403,0.0980392,0.00274682
574,0.12627,0.12549,0.00274742
