t,predict_test,teacher
501,0.950693,0.977669,0.000727719
502,-0.502664,-0.77833,0.0767198
503,-0.222603,-0.00331926,0.124805
504,-0.239298,-0.571624,0.235246
505,-0.216791,-0.0348205,0.268359
506,0.363159,0.38375,0.268783
507,-0.434788,-0.50502,0.273715
508,0.352814,0.519976,0.301659
509,-1.0844,-0.859837,0.352089
510,0.239022,0.132115,0.363518
511,-0.0953339,-0.052924,0.365316
512,1.0307,0.774345,0.431035
513,0.41111,0.562689,0.454011
514,-0.379316,-0.635738,0.519763
515,0.899703,0.995008,0.528846
516,-0.450743,-0.54745,0.538198
517,-1.17775,-0.986186,0.574894
518,-0.435995,-0.259319,0.606109
519,0.854797,0.823939,0.607061
520,0.277833,0.138772,0.626399
521,-0.0360333,-0.146317,0.638561
522,1.31593,0.919269,0.795903
523,1.02499,0.9995,0.796553
524,-0.493017,-0.551372,0.799959
525,-0.0747731,-0.0276344,0.802181
526,-0.771721,-0.841579,0.807061
527,-0.985056,-0.980716,0.80708
528,0.927616,0.997818,0.812008
529,-0.360775,-0.785792,0.992648
530,0.943734,0.806381,1.01151
531,0.0141271,-0.0991539,1.02435
532,0.700651,0.69497,1.02438
533,0.273691,0.0934084,1.05688
534,-1.03458,-0.881917,1.08019
535,-0.603781,-0.536256,1.08475
536,-0.790101,-0.974496,1.11875
537,0.745413,0.987498,1.17735
538,-0.438049,-0.493894,1.18047
539,-0.815636,-0.641262,1.21088
540,0.535419,0.835382,1.30086
541,-0.392798,-0.356681,1.30216
542,0.518576,0.494675,1.30273
543,-0.457157,-0.585423,1.31918
544,-0.525816,-0.770177,1.3789
545,0.0733412,0.00862943,1.38308
546,-0.806715,-0.979652,1.41299
547,0.420239,0.388464,1.414
548,-0.876785,-0.826281,1.41655
549,0.820692,0.997238,1.44772
550,0.0420662,-0.0574349,1.45762
551,1.18245,0.987174,1.49575
552,0.551716,0.558079,1.4958
553,-0.693832,-0.718126,1.49639
554,-0.763381,-0.79285,1.49725
555,0.610854,0.83138,1.54589
556,1.09471,0.997424,1.55535
557,-0.154062,-0.10619,1.55764
558,-0.794506,-0.864002,1.56247
559,-0.160479,-0.309022,1.58454
560,0.466982,0.320832,1.6059
561,-1.22918,-0.990675,1.66278
562,0.382912,0.272319,1.67501
563,0.89213,0.999304,1.6865
564,-0.841938,-0.191907,2.10904
565,0.467644,0.908615,2.30349
566,0.776369,0.979345,2.34469
567,-0.742645,-0.535128,2.38775
568,-0.255729,-0.356487,2.39791
569,1.10644,0.999196,2.40941
570,-0.983822,-0.996024,2.40955
571,0.186985,0.0479207,2.42889
572,0.303497,0.221114,2.43568
573,-0.47759,-0.666923,2.47153
574,-0.75204,-0.614549,2.49043
575,-0.525131,-0.750282,2.54112
576,-0.981267,-0.92026,2.54485
577,-1.05859,-0.971122,2.5525
578,0.580807,0.273445,2.64697
579,-0.0836178,0.0973385,2.67971
580,0.562955,0.475163,2.68742
581,0.876989,0.928499,2.69007
582,-0.0204141,-0.363084,2.8075
583,-0.643481,-0.807505,2.8344
584,-0.768396,-0.945221,2.86567
585,0.821562,0.965595,2.88641
586,-0.685518,-0.681549,2.88643
587,0.165218,0.394243,2.93888
588,-0.444541,-0.708096,3.00834
589,-0.360217,-0.445788,3.01566
590,-0.391631,-0.387949,3.01568
591,-0.556087,-0.870775,3.11471
592,0.207182,0.210478,3.11472
593,0.655462,0.838813,3.14834
594,1.12921,0.998554,3.16541
595,0.611178,0.456449,3.18935
596,0.29999,0.462262,3.21568
597,-0.405957,-0.559238,3.23917
598,0.0690731,0.248631,3.27142
599,-0.0303744,-0.45088,3.44824
600,-0.191125,-0.0127192,3.48007
601,-0.937767,-0.828074,3.4921
602,0.346467,0.569472,3.54183
603,-0.231271,-0.389635,3.56691
604,0.737451,0.69589,3.56864
605,-0.198648,-0.213491,3.56886
606,0.753988,0.981083,3.62043
607,-0.522785,-0.333995,3.65607
608,-1.03503,-0.931642,3.66676
609,0.685747,0.856171,3.69581
610,1.189,0.902396,3.77795
611,-0.664038,-0.698687,3.77915
612,-0.278184,-0.0939989,3.81307
613,-0.444819,-0.642127,3.852
614,-0.324143,-0.382316,3.85539
615,-0.0260732,-0.0934076,3.85992
616,-0.898981,-0.989301,3.86808
617,-0.161992,-0.0165398,3.88923
618,1.20283,0.959069,3.94865
619,1.01018,0.995927,3.94886
620,0.834521,0.99723,3.97533
621,0.651014,0.799939,3.99751
622,0.924913,0.78584,4.01685
623,0.00738188,0.139511,4.03431
624,-0.77789,-0.701988,4.04007
625,0.537975,0.745507,4.08314
626,0.0555135,0.0857941,4.08406
627,0.42013,0.203212,4.13111
628,-0.628893,-0.561198,4.13569
629,0.722272,0.64326,4.14194
630,0.250269,0.344586,4.15083
631,-0.528113,-0.534306,4.15087
632,0.212496,0.129285,4.15779
633,0.170375,0.0213921,4.17999
634,0.665781,0.913429,4.24132
635,-0.853609,-0.889485,4.24261
636,0.541067,0.912315,4.38043
637,0.738509,0.840607,4.39086
638,0.134702,0.127412,4.39091
639,-0.798439,-0.879489,4.39748
640,-0.658759,-0.57217,4.40497
641,-0.483627,-0.540179,4.40817
642,-0.0804087,0.103332,4.44193
643,-0.834846,-0.953676,4.45605
644,1.12495,0.93542,4.49198
645,0.311296,0.382753,4.49708
646,-0.525189,-0.524935,4.49708
647,-0.725149,-0.546258,4.52908
648,-0.665008,-0.979993,4.6283
649,0.828312,0.967458,4.64766
650,0.197573,0.297724,4.65769
651,0.846572,0.821894,4.6583
652,0.687403,0.532529,4.68229
