t,predict_test,teacher
501,0.0158085,0.977669,0.925176
502,0.0767369,-0.77833,1.65632
503,0.0947926,-0.00331926,1.66594
504,-0.591498,-0.571624,1.66634
505,0.594577,-0.0348205,2.06248
506,0.0856956,0.38375,2.15131
507,-0.147599,-0.50502,2.27906
508,-0.371277,0.519976,3.0734
509,-0.263973,-0.859837,3.42845
510,-0.347023,0.132115,3.65802
511,0.435321,-0.052924,3.89641
512,0.365156,0.774345,4.06384
513,-0.321283,0.562689,4.84525
514,-0.255267,-0.635738,4.99001
515,0.00838464,0.995008,5.96343
516,0.0517059,-0.54745,6.32242
517,-0.255038,-0.986186,6.857
518,0.10903,-0.259319,6.99268
519,0.220495,0.823939,7.35682
520,-0.346771,0.138772,7.59258
521,-0.352764,-0.146317,7.6352
522,0.433352,0.919269,7.87131
523,0.430513,0.9995,8.19506
524,0.143101,-0.551372,8.67735
525,0.326927,-0.0276344,8.80306
526,-0.196884,-0.841579,9.2187
527,-0.0768051,-0.980716,10.0358
528,3.60861e-05,0.997818,11.0313
529,0.39334,-0.785792,12.4217
530,0.0365174,0.806381,13.0144
531,0.371487,-0.0991539,13.2359
532,0.156328,0.69497,13.526
533,-0.633576,0.0934084,14.0545
534,-0.162339,-0.881917,14.5723
535,-0.629594,-0.536256,14.581
536,0.255552,-0.974496,16.094
537,-0.549927,0.987498,18.4577
538,-0.651331,-0.493894,18.4825
539,-0.312951,-0.641262,18.5903
540,0.369009,0.835382,18.8078
541,0.0344026,-0.356681,18.9607
542,-0.229479,0.494675,19.4851
543,-0.393109,-0.585423,19.5221
544,-0.036103,-0.770177,20.061
545,-0.168613,0.00862943,20.0924
546,-0.246742,-0.979652,20.6295
547,-0.388985,0.388464,21.234
548,-0.0712241,-0.826281,21.8041
549,-0.0511987,0.997238,22.9033
550,0.439164,-0.0574349,23.1499
551,0.0376736,0.987174,24.0515
552,-0.0969841,0.558079,24.4806
553,-0.593486,-0.718126,24.4961
554,0.0300383,-0.79285,25.1733
555,0.619078,0.83138,25.2183
556,0.398641,0.997424,25.5769
557,-0.367994,-0.10619,25.6454
558,-0.127137,-0.864002,26.1884
559,0.259369,-0.309022,26.5114
560,-0.669719,0.320832,27.4926
561,-0.351945,-0.990675,27.9006
562,-0.47797,0.272319,28.4635
563,-0.367829,0.999304,30.3326
564,-0.200538,-0.191907,30.3327
565,0.0582159,0.908615,31.0559
566,0.102199,0.979345,31.8252
567,-0.568422,-0.535128,31.8263
568,0.161426,-0.356487,32.0946
569,0.068928,0.999196,32.96
570,-0.414652,-0.996024,33.298
571,-0.133925,0.0479207,33.331
572,0.380226,0.221114,33.3564
573,-0.391536,-0.666923,33.4322
574,-0.394671,-0.614549,33.4805
575,-0.132835,-0.750282,33.8618
576,-0.443925,-0.92026,34.0887
577,-0.111841,-0.971122,34.827
578,-0.112227,0.273445,34.9758
579,-0.105144,0.0973385,35.0168
580,0.276157,0.475163,35.0564
581,0.185959,0.928499,35.6078
582,-0.109075,-0.363084,35.6723
583,-0.383555,-0.807505,35.852
584,0.33719,-0.945221,37.4966
585,0.232687,0.965595,38.0337
586,0.0579777,-0.681549,38.5806
587,-0.13896,0.394243,38.8649
588,0.198593,-0.708096,39.687
589,0.0287371,-0.445788,39.9122
590,-0.347413,-0.387949,39.9138
591,-0.0867134,-0.870775,40.5286
592,-0.0566477,0.210478,40.6
593,0.30602,0.838813,40.8838
594,0.125413,0.998554,41.6462
595,0.193413,0.456449,41.7154
596,0.311808,0.462262,41.738
597,-0.112277,-0.559238,41.9378
598,-0.153031,0.248631,42.0991
599,0.0476925,-0.45088,42.3477
600,0.304412,-0.0127192,42.4483
601,-0.294278,-0.828074,42.7332
602,-0.100586,0.569472,43.1822
603,0.295103,-0.389635,43.6511
604,-0.288853,0.69589,44.6208
605,0.39407,-0.213491,44.9899
606,0.473558,0.981083,45.2475
607,-0.398689,-0.333995,45.2517
608,-0.0143982,-0.931642,46.093
609,0.427832,0.856171,46.2765
610,0.377158,0.902396,46.5524
611,-0.178512,-0.698687,46.8229
612,-0.0933787,-0.0939989,46.8229
613,-0.255875,-0.642127,46.9721
614,-0.302514,-0.382316,46.9785
615,-0.15722,-0.0934076,46.9826
616,-0.444253,-0.989301,47.2797
617,0.201251,-0.0165398,47.3271
618,-0.102694,0.959069,48.4544
619,0.279837,0.995927,48.9672
620,0.124642,0.99723,49.7286
621,-0.0261721,0.799939,50.4111
622,0.109156,0.78584,50.869
623,-0.459952,0.139511,51.2283
624,-0.340457,-0.701988,51.359
625,0.13823,0.745507,51.7278
626,0.277394,0.0857941,51.7645
627,-0.742698,0.203212,52.6593
628,0.039952,-0.561198,53.0207
629,-0.00214556,0.64326,53.4372
630,0.345332,0.344586,53.4372
631,-0.0897085,-0.534306,53.6349
632,-0.232141,0.129285,53.7655
633,0.270086,0.0213921,53.8274
634,0.139185,0.913429,54.4268
635,-0.238227,-0.889485,54.851
636,0.0793924,0.912315,55.5447
637,-0.0833896,0.840607,56.3985
638,-0.710008,0.127412,57.0998
639,-0.676316,-0.879489,57.141
640,-0.302163,-0.57217,57.2139
641,-0.0171448,-0.540179,57.4875
642,0.0277208,0.103332,57.4932
643,0.0250871,-0.953676,58.4512
644,0.843426,0.93542,58.4597
645,-0.0879897,0.382753,58.6813
646,-0.0460485,-0.524935,58.9106
647,-0.667372,-0.546258,58.9253
648,0.173093,-0.979993,60.2549
649,0.328524,0.967458,60.6631
650,0.00376456,0.297724,60.7495
651,0.202026,0.821894,61.1338
652,0.430777,0.532529,61.1441
653,0.109871,0.805113,61.6275
654,-0.263552,-0.273732,61.6276
655,0.391096,0.957075,61.9479
656,-0.16471,0.80407,62.8864
657,-0.0879136,-0.942733,63.6172
658,0.045278,0.692188,64.0356
659,0.250248,0.458434,64.079
660,-0.187251,0.640031,64.7634
661,0.210094,0.419726,64.8073
662,0.0948674,-0.933951,65.8658
663,-0.537183,-0.771379,65.9206
664,-0.370066,-0.900981,66.2025
665,-0.0266089,0.46544,66.4446
666,-0.0196879,0.986374,67.4568
667,-0.0241009,-0.270702,67.5176
668,0.336288,0.494818,67.5427
669,-0.217502,0.926285,68.851
670,-0.170009,-0.48126,68.9479
671,-0.152771,-0.989526,69.648
672,0.245711,-0.0602469,69.7416
673,0.286784,0.924318,70.1481
674,0.0846977,0.336805,70.2116
675,-0.133948,0.0968679,70.2649
676,0.201226,-0.985373,71.6729
677,0.586739,0.913259,71.7795
678,-0.154998,0.0722099,71.8312
679,0.0296017,-0.75692,72.4498
680,0.295469,0.456974,72.4759
681,0.694569,0.985462,72.5605
682,0.134938,0.349464,72.6065
683,-0.0811894,-0.932919,73.3319
684,-0.0141425,0.77108,73.9485
685,-0.739559,-0.992143,74.0123
686,-0.30313,-0.329906,74.013
687,-0.238099,-0.944706,74.5123
688,0.266559,0.626706,74.642
689,0.194773,0.996185,75.2843
690,-0.391681,-0.0846282,75.3786
691,-0.329658,-0.908736,75.7139
692,-0.18701,-0.457876,75.7873
693,-0.17858,-0.967669,76.4099
694,-0.649597,-0.744117,76.4189
695,-0.473144,-0.979248,76.675
696,-0.293273,0.12839,76.8528
697,-0.329987,-0.449018,76.867
698,0.443137,-0.675189,78.1176
699,0.103005,0.998266,78.9191
700,-0.039141,-0.999316,79.8411
701,-0.189246,-0.789364,80.2012
702,0.0639083,-0.103969,80.2294
703,-0.0172308,0.533038,80.5322
704,0.166475,0.997666,81.2231
705,-0.184982,-0.256843,81.2282
706,-0.483441,-0.961741,81.457
707,-0.133009,-0.994663,82.1994
708,0.40029,0.953722,82.5057
709,0.425845,0.70606,82.5842
710,-0.111233,0.70546,83.2512
711,-0.341358,-0.663161,83.3548
712,-0.445629,0.388311,84.0502
713,0.0256253,-0.101279,84.0664
714,0.362678,0.387324,84.067
715,-0.175443,-0.960303,84.683
716,0.186335,-0.0913347,84.7601
717,-0.071452,0.96024,85.8245
718,-0.280363,0.183773,86.0399
719,-0.536243,-0.975961,86.2332
720,-0.151796,-0.256017,86.2441
721,0.0388778,0.98403,87.1374
722,0.100497,0.786708,87.6083
723,0.111118,-0.948117,88.7303
724,-0.337889,-0.313484,88.7309
725,-0.0398775,-0.776509,89.2735
726,-0.0953016,0.390684,89.5097
727,-0.416245,-0.553591,89.5285
728,0.19753,-0.951012,90.8477
729,0.347752,0.133579,90.8936
730,-0.352576,0.925566,92.5272
731,-0.25391,-0.837522,92.8678
732,0.325841,0.434435,92.8796
733,-0.17115,-0.955029,93.4941
734,0.174017,0.231138,93.4973
735,0.177434,0.668775,93.7387
736,0.0460845,0.0344876,93.7389
737,-0.179747,-0.559053,93.8827
738,0.157277,-0.782228,94.7654
739,0.152811,0.403176,94.8281
740,-0.667994,-0.96499,94.9163
741,0.175442,-0.833,95.9333
742,0.116806,0.497476,96.0782
743,-0.835138,0.0344236,96.8343
744,0.118418,-0.998454,98.0817
745,0.472631,0.978054,98.3372
746,-0.110494,-0.137285,98.3379
747,0.306588,-0.721483,99.3948
748,-0.266224,0.998313,100.994
749,0.118519,0.896301,101.599
750,-0.222152,-0.621505,101.758
751,-0.318977,0.169831,101.997
752,-0.334828,-0.256044,102.003
753,-0.220091,0.086375,102.097
754,-0.260819,0.836214,103.301
755,-0.279995,0.178406,103.511
756,0.010084,-0.989683,104.511
757,-0.135654,-0.990162,105.241
758,-0.177812,0.408192,105.584
759,-0.10819,-0.389143,105.663
760,0.797625,-0.934454,108.663
761,-0.0316498,0.952909,109.632
762,-0.49534,-0.992191,109.879
763,-0.502355,-0.998581,110.126
764,0.164099,0.528173,110.258
765,-0.200151,0.646589,110.975
766,-0.120103,-0.644933,111.251
767,0.0120227,0.834158,111.926
768,0.140562,0.490616,112.049
769,0.122852,-0.383323,112.305
770,0.013606,0.816363,112.95
771,0.110748,0.668874,113.261
772,-0.00335006,-0.249134,113.322
773,0.0609299,0.232631,113.351
774,0.133291,-0.0257941,113.376
775,0.281035,-0.12573,113.542
776,-0.022022,0.894265,114.381
777,0.0263963,-0.556305,114.721
778,0.255271,0.806195,115.024
779,-0.113586,-0.679605,115.345
780,0.229501,0.476014,115.406
781,-0.19963,0.858426,116.525
782,-0.860095,-0.362981,116.772
783,-0.319763,-0.89074,117.098
784,0.222224,0.733256,117.359
785,0.274175,0.0641205,117.403
786,-0.0933071,0.565585,117.838
787,-0.137029,-0.15327,117.838
788,0.132388,0.889636,118.411
789,0.768502,0.763326,118.411
790,0.345578,0.720575,118.552
791,-0.023923,-0.998201,119.501
792,-0.0519718,0.187327,119.558
793,-0.0465091,0.260237,119.653
794,-0.175354,-0.987746,120.312
795,0.0424218,0.608998,120.633
796,-0.110749,0.879159,121.613
797,-0.532126,-0.0616244,121.835
798,-0.164703,-0.589662,122.015
799,0.0780661,0.21613,122.034
800,0.175068,0.659626,122.269
801,0.0733015,0.233258,122.295
802,-0.0240383,0.731739,122.866
803,-0.376881,-0.973862,123.222
804,0.300581,-0.175433,123.449
805,0.332506,0.789057,123.657
806,-0.0322059,-0.480952,123.859
807,-0.204136,-0.139304,123.863
808,-0.259099,-0.852716,124.215
809,-0.0161703,-0.359715,124.333
810,-0.0257658,-0.365156,124.449
811,-0.293514,-0.695349,124.61
812,-0.439564,-0.973059,124.895
813,-0.329412,0.157899,125.132
814,0.630459,0.978313,125.253
815,0.444828,0.609602,125.28
816,-0.319383,-0.223526,125.29
817,-0.222181,0.0336079,125.355
818,-0.121268,-0.563609,125.551
819,-0.27082,-0.844411,125.88
820,0.0680587,-0.937678,126.891
821,-0.367286,0.99792,128.755
822,-0.359537,-0.381663,128.755
823,-0.0714795,0.581884,129.182
824,-0.00410477,-0.310053,129.276
825,-0.306023,-0.869853,129.594
826,-0.0128061,-0.533653,129.865
827,0.00700862,-0.359735,130
828,-0.308819,-0.806891,130.248
829,-0.118498,-0.363033,130.307
830,-0.131728,-0.769016,130.714
831,0.190675,-0.476323,131.158
832,0.17697,0.440501,131.228
833,-0.201328,0.775669,132.182
834,-0.0652558,-0.353698,132.266
835,0.117658,0.964057,132.982
836,-0.333514,-0.582103,133.044
837,0.189551,-0.394715,133.385
838,0.301275,0.530451,133.438
839,0.498212,0.863766,133.571
840,-0.0397873,0.498626,133.861
841,-0.134039,-0.257694,133.877
842,-0.0376885,-0.99948,134.802
843,0.380589,0.862563,135.034
844,0.0261215,0.973905,135.932
845,0.800265,0.975293,135.963
846,-0.170384,0.863911,137.033
847,-0.327643,0.122917,137.236
848,0.032523,0.287032,137.3
849,0.0300901,-0.860845,138.094
850,-0.106505,0.887833,139.083
851,-0.215761,-0.596326,139.228
852,-0.262518,-0.227206,139.229
853,-0.0109339,-0.0616309,139.231
854,0.348586,0.807533,139.442
855,0.663019,-0.754636,141.452
856,-0.402614,-0.967945,141.771
857,0.0873012,-0.999844,142.953
858,0.0843542,0.632568,143.254
859,-0.160637,0.969132,144.53
860,-0.457684,0.602753,145.655
861,0.102941,0.773803,146.105
862,-0.02542,-0.752882,146.634
863,0.545683,0.994626,146.836
864,0.0739055,0.906429,147.529
865,-0.200383,-0.762454,147.845
866,0.0440689,-0.673159,148.359
